date,chl,phy,ph,Celsius,spcond,do,turb,Salinity
8/25/2017,1.493541667,0.656979167,7.7265625,24.76677083,0.12634375,8.360625,2.294166667,2.935848827
8/26/2017,1.471666667,0.6359375,7.721354167,24.38177083,0.134197917,8.388020833,2.35875,3.157065081
8/27/2017,1.436875,0.671875,7.687395833,24.05,0.1409375,8.499895833,2.230520833,3.351033892
8/28/2017,1.541354167,0.645104167,7.6121875,23.68958333,0.150447917,8.326458333,2.175520833,3.621856691
8/29/2017,1.789166667,0.738333333,7.552083333,23.04854167,0.1545,8.228020833,2.155625,3.779472871
8/30/2017,1.981354167,0.779166667,7.593333333,22.58114583,0.159145833,8.302291667,2.357916667,3.942121078
8/31/2017,2.108125,0.957395833,7.75625,22.39645833,0.160864583,8.9428125,2.833645833,4.004328269
9/1/2017,2.178125,1.086041667,7.90875,21.7909375,0.166145833,9.321979167,3.199479167,4.2026496
9/2/2017,2.4459375,1.3959375,8.236041667,21.26510417,0.17146875,10.17927083,3.985833333,4.39944403
9/3/2017,2.341458333,1.567708333,8.041145833,20.53604167,0.17734375,9.863229167,4.113333333,4.638942223
9/4/2017,2.017604167,1.58375,8.063854167,20.26385417,0.181677083,9.78625,4.340104167,4.790575421
9/5/2017,2.242604167,1.6246875,8.163645833,20.73947917,0.185479167,9.899791667,4.410833333,4.844480566
9/6/2017,2.724166667,1.663020833,8.174166667,21.23322917,0.184572917,9.8171875,4.109583333,4.764392006
9/7/2017,2.351875,1.776354167,8.171770833,21.17104167,0.1834375,9.795625,3.9559375,4.739453583
9/8/2017,2.116354167,1.935520833,8.345104167,21.11135417,0.191208333,10.211875,4.315104167,4.962407615
9/9/2017,2.0828125,2.162916667,8.294270833,20.9009375,0.193,10.2359375,4.6253125,5.036470409
9/10/2017,1.805416667,2.266041667,8.2346875,20.57479167,0.193572917,10.24541667,4.786666667,5.090984507
9/11/2017,1.697291667,2.217083333,8.4059375,20.63760417,0.189354167,10.826875,4.91375,4.965737539
9/12/2017,1.6303125,1.7565625,8.615520833,21.58114583,0.173666667,11.2425,4.635416667,4.429571707
9/13/2017,1.388947368,1.302421053,8.476421053,21.82378947,0.171347368,10.68873684,3.493894737,4.340449639
9/14/2017,1.127604167,0.734791667,8.166145833,22.36489583,0.1708125,9.770729167,2.292604167,4.273063469
9/15/2017,1.006458333,0.414166667,7.782708333,22.37802083,0.172739583,8.867916667,1.6303125,4.323701487
9/16/2017,0.921145833,0.283854167,7.506145833,22.12322917,0.1716875,8.160520833,1.32125,4.320026863
9/17/2017,0.8375,0.22625,7.37,22.31177083,0.173729167,7.807291667,1.1296875,4.357122974
9/18/2017,1.003125,0.249895833,7.314479167,22.15302083,0.171697917,7.542395833,1.1146875,4.31737584
9/19/2017,1.1778125,0.307604167,7.2284375,21.72614583,0.174020833,6.897604167,4.347083333,4.422999238
9/20/2017,1.233645833,0.2603125,7.224375,21.2575,0.192552083,6.736666667,1.361666667,4.983595469
9/21/2017,1.2725,0.258333333,7.270833333,21.0103125,0.217,6.957708333,1.465833333,5.698723925
